N samples,CPU,pytorch,pytorch+gpu
50,0.00032258033752441406,0.0042455196380615234,0.36939263343811035
100,0.0005156993865966797,0.004486560821533203,0.3711714744567871
200,0.0018019676208496094,0.005608797073364258,0.3722960948944092
800,1.0761408805847168,0.04181981086730957,0.4340858459472656
1600,0.8448545932769775,0.6007277965545654,0.4618258476257324
3200,4.768993139266968,2.712533712387085,0.5618042945861816
6400,35.78577709197998,14.07798457145691,1.1846418380737305
,,,
